1001,,,,,,,,,,,,,
1002,,,,,,,,,,,,,
1013," Во время игровой программы мы узнаем о том, как запрягают лошадей, как управляют ими, как и чем их кормят, как подковывают. Мы посетим конюшни племенных лошадей и домашний зоопарк, где увидим козочек, курочек, кроликов, овечек, индюшек и хрюшек. Также, совершим экскурсию по территории клуба и в музей лошади. И, конечно, каждый сможет ПОКАТАТЬСЯ на лошади! ",,,,,,,,,,,,
1014,,,,,,,,,,,,,
1015,,,,,,,,,,,,,
1016," После посещения «Ледяной пещеры» мы отправимся на экскурсию в деревню Ермака. Мы увидим струги Ермаковы, музей крестьянского быта времен Ермака, часовню Николая Чудотворца и много других исторических объектов. ",,,,,,,,,,,,
1017," Усолье в прошлом – величественная Строгановская столица, которую с Петербургом и с Венецией объединяет единство архитектуры и и водного пространства. Поэтому поговорка «Усолье град – Петербургу брат» совсем не случайна. "," В ходе экскурсии мы прогуляемся по улочкам «Уральской Венеции» и посетим музей «Усадьба князей Голицыных». В музее сохранились настоящие интерьеры усадьбы, которые воссоздают атмосферу того времени и рассказывают об истории и культуре с. Новое Усолье. ",,,,,,,,,,,
1018," В поселке много современных, ярких, привлекающий взгляд арт-объектов. Так, например, мы увидим фанерную Эйфелеву башню, раскрашенную во все цвета радуги. Градообразующее предприятие поселка Уральский - фанерный комбинат. Местные уже придумали примету - перед важными событиями они идут к башне, чтобы не пролететь как фанера над Парижем. "," Любопытно посмотреть и на парк «Живая вода». Он состоит из нескольких опять-таки фанерных арт-объектов на тему жизни в воде (от Ледникового периода до наших дней). Здесь и образцы первобытных форм жизни, и диковинные рыбы, и фигуры людей. "," И конечно, мы посетим музей «Истории рейдерства». Это единственный музей в России подобного рода, который знакомит с наиболее яркими примерами рейдерства в мировой и отечественной истории. Часть экспонатов посвящена морскому разбою и женщинам пиратам, но основная экспозиция рассказывает о рейдерском захвате Пермского фанерного комбината. На него в начале 2000-х гг. был совершен ряд атак различных структур с целью его захвата всеми возможными методами. Апогеем тех событий стала попытка силового рейдерского захвата – предприятие в буквальном смысле подвергалось штурму с перестрелкой. ",,,,,,,,,,
1019,,,,,,,,,,,,,
1020,,,,,,,,,,,,,
1021," Памятник природы Каменный город (местное название - Чёртово городище или Черепахи) расположен в 5 км от поселка Усьва, на главной вершине хребта Рудянский спой. Скальный массив прорезан глубокими, до 8-12 метров трещинами шириной 1-8 метров, часто расположенными под прямым углом, что создает иллюзию улиц и переулков заброшенного города. Причудливые скальные останцы образуют сеть коридоров и ярусов на возвышенности посреди леса. Арки, проходы, мосты, лабиринты - здесь можно найти много интересного. "," Его видели лишь немногие. Но те, кто попадал туда, никогда его не забудут — песчаные изваяния, созданные природой, настолько красивы, что заставляют забыть о реальности. Каменный город красив в любое время года, но особенно зимой, когда он становится похожим на сказочное Берендеево царство. "," Далее Мы приглашаем Вас в незабываемое путешествие в старину - к Ермаку, русским самоварам, лаптям и игрушкам. Чусовской этнографический парк, расположенный около г. Чусового, рядом со спортивной школой «Огонек» – место необычное. Здесь воссоздается атмосфера русской старины. Дома с праздничной резьбой, симпатичные церкви, расписные карусели с лошадками, забавные яркие вывески напоминают иллюстрации к русским сказкам. По деревенской улочке прогуливаются гуси, рядом в доме находятся кролики… В этнопарке течет своя особая жизнь. "," Посетив парк, Вы узнаете, какая утварь была в каждой крестьянской избе. Увидите сани-розвальни, зыбку, глядельце, светец и еще множество необходимых в крестьянском быту предметов. Купеческая лавка поражает коллекцией русских самоваров, утюгов и машин «Зингер». "," Для детей настоящим сюрпризом станет Балаган. Здесь множество разноцветных матрешек, пирамидок и деревянных медведей, с которыми можно поиграть. "," А в единственном в нашем крае музее Ермака Вас ждет сам завоеватель и покоритель Сибири Ермак Тимофеевич. На картинах, панно Вы увидите сцены из его похода. И что особо волнительно, сможете подержать в руках оружие времен Ермака. Дорога до этнопарка проходит по местам, где в XVI веке Ермак шел со своей дружиной. Вы услышите предания, сказания о реке Чусовой и Ермаке. ",,,,,,,
1022," В экспозиции музея представлена история развития стального шлема в двух мировых войнах. Коллекция лысьвенских касок была пополнена образцами частных коллекционеров Перми, Санкт-Петербурга, Москвы. Внимание посетителей обязательно привлекут французская каска 1915 г., немецкая каска 1916 г., английская каска 1935 г., американская, итальянская и другие … "," Интерьер зала визуально напоминает заводской цех, и посетитель погружается в атмосферу нелёгких трудовых будней тружеников тыла. В музее также представлены стальные нагрудники и защитные щитки для стрелков, изготовленные в годы войны в Лысьве. В зале СЛАВЫ рассказывается о подвиге лысьвенцев-фронтовиков и тружеников тыла. За годы войны «Завод №700» выпустил 18 млн. шт. коробок к противогазам, 10 млн. шт. стальных касок, 14 млн. шт. армейских котелков. ",,,,,,,,,,,
1023," Вы увидите, что индейцы живут в типи – традиционных индейских жилищах. Для детей устроены небольшие вигвамы, а посередине деревни стоит главный шатер. Стоит заметить, что настоящий типи собирается без гвоздей, он состоит из брусьев, ткани, веревок, шишек. Конусовидное сооружение женщина из племени индейцев должна собирать за полчаса. Считается, что мужчина-индеец не должен заниматься такими «глупостями», как сборка типи или вигвама. Внутренне пространство типи довольно просторно, правильно разведенный очаг способен держать тепло в доме продолжительно долго. Инипи – традиционная индейская баня, очищение в ней скорее духовное, чем «физическое». "," Деревня «Дети ветра» усыпана всевозможными арт-объектами. Самый интересный из них – солнечные часы. Чтобы узнать время, нужно встать в центр «на пятачок» и определить значение по тени. Временные отрезки обозначаются пенечками, которые украшены индейскими рунами, символизирующими дом, воду, воздух и пр. Коммуникации не обошли стороной индейскую деревню XXI века. Питьевая вода подается по деревянному водопроводу в виде выдолбленных желобов. Его начало берется с ручья на возвышенности. "," В деревне «Дети Ветра» поддерживается здоровый образ жизни. Ее основатели используют природные ресурсы, улучшают окружающую среду, не употребляют «огненную воду» (алкоголь). Здесь запрещается сквернословить и вести себя агрессивно. При этом здесь пользуются современными гаджетами, а 3G в этом месте «уверенный», ведь от работы и забот никуда не деться. "," Для нас будут организованы мастер-классы по изготовлению традиционных для индейцев предметов обихода или сувениров. Для этого используется дерево и глина. Любой желающий может пострелять из лука, попробовать себя в ремесле, пометать ножи. Самым смелым раскрасят лицо. В конце экскурсионной программы вас ожидает чаепитие с традиционными индейскими лепешками и пирогами. ",,,,,,,,,
