1011,От топота копыт,Конноспортивный клуб Престиж,Приглашаем Вас посетить конноспортивный клуб «Престиж».,"Лошади – удивительные животные. Эти создания очень радушны и преданны, у них прекрасная память. А главное, катание на лошадях приносит огромную пользу здоровью. Они помогают нашему телу расслабиться, общение с ними поддерживает тонус нашего тела. Психологи утверждают, что человек чувствует себя увереннее, избавляется от своих комплексов, управляя таким сильным и крупным животным.",TODO,4-4.5 часа
1012,Мир домашних животных ,Конноспортивный клуб Престиж,Приглашаем Вас посетить конноспортивный клуб «Престиж».,"Лошади – удивительные животные. Эти создания очень радушны и преданны, у них прекрасная память. А главное, катание на лошадях приносит огромную пользу здоровью. Они помогают нашему телу расслабиться, общение с ними поддерживает тонус нашего тела. Психологи утверждают, что человек чувствует себя увереннее, избавляется от своих комплексов, управляя таким сильным и крупным животным.",TODO,3.5-4 часа
1013,Турслет,Конноспортивный клуб Престиж,Приглашаем Вас посетить конноспортивный клуб «Престиж».,"Лошади – удивительные животные. Эти создания очень радушны и преданны, у них прекрасная память. А главное, катание на лошадях приносит огромную пользу здоровью. Они помогают нашему телу расслабиться, общение с ними поддерживает тонус нашего тела. Психологи утверждают, что человек чувствует себя увереннее, избавляется от своих комплексов, управляя таким сильным и крупным животным.",TODO,4-4.5 часа
1014,Пермская Синематика," Экскурсия по Перми кинематографической, документальные фильмы о Перми",Приглашаем вас на интереснейшую кинопрогулку по Пермской Синематике с просмотром одного из фильмов специальной краеведческой программы.,"Во время экскурсии мы посетим одно из крупнейших в стране хранилищ фильмофонда. Это огромное помещение, в котором находятся тысячи известных фильмов, записанные на целлулоидной пленке, хранящиеся в катушках.",TODO,2.5-3 часа
1015,Хохловка, Архитектурно-этнографический музей под открытым небом,"Приглашаем Вас в Хохловку – удивительное место на крутом живописном берегу реки Камы, чтобы совершить незабываемое путешествие в историческое прошлое народов Прикамья.","Хохловка – архитектурно – этнографический музей под открытым небом, включающий уникальные памятники деревянного зодчества Урала. Почти все экспонаты этого необычного заповедного городка имеют почтенный возраст – от ста до двухсот лет. Все они воссоздают жилые и хозяйственные постройки XVII-XX вв., свезенные сюда с разных уголков территории Пермского края и сохраняемы с большой любовью.",TODO,5-5.5 часов
1016,В поисках клада Ермака," Кунгурская ледяная пещера, деревня Ермака",Приглашаем Вас на увлекательную программу «В поисках клада Ермака».,"С давних времен Ледяная пещера овеяна легендами и сказаниями. Существовал ли знаменитый клад Ермака? Где он спрятан? Мы испытаем свою удачу и поищем клад Ермака в пещерных гротах. Вы узнаете о народных поверьях в поисках кладов, об истории похода Ермака по Сылвенской земле, о кунгурских сказах в интересной игровой форме с элементами лазерного шоу. Пройдемся мы и по малоизвестным гротам. Вы увидите подземное зеркало и затонувшую Атлантиду. Маршрут проходит через 14 гротов, протяженностью 1300 метров.",TODO,7 часа
1017,Усолье – мозаика времен," г. Усолье. Строгановские палаты, усадьба Голицыных","Приглашаем Вас посетить город Усолье, который хранит память об известном роде Строгановых.","До конца XVIII века Усолье было главным селением Строгановых на Каме. В 1895 г. здесь насчитывалось 40 соляных варниц, на которых работали до 800 человек. В Старом Усолье, на одном из островов, сосредоточены основные и наиболее ценные памятники архитектуры – федерального и регионального значения – всего более сорока. Здесь находится Строгановский архитектурный ансамбль XVII-XIX вв.",TODO,6 часов
1018,Фанера над Парижем," пос. Уральский, музей Рейдерства",Приглашаем Вас на необычную экскурсию по поселку Уральский с посещением единственного в своем роде музея Рейдерства.,"Пос. Уральский – один из рабочих поселков, выросший в послевоенные годы. Его появление вызвано строительством крупного, единственного в регионе, Пермского фанерного комбината. И завод, и поселок в короткое время получили широкую известность и добрую славу. Поселок – за необыкновенную красоту, завод – за свою продукцию.",TODO,6 часов
1019,"Цирк, цирк, цирк!","За кулисами пермского цирка, музей, фотосессия в костюмах",Приглашаем Вас окунуться в атмосферу настоящего праздника! В жизни каждого из самых ярких впечатлений детства связано с цирком. Цирк это всегда праздник!,"Не многие из жителей нашего города и области знают, что в цирке работает музей истории циркового искусства. В ходе экскурсии мы узнаем не только об истории цирка, но и познакомимся с закулисной жизнью, по возможности побываем на репетиции и заглянем на конюшню. А в музее мы познакомимся с уникальными фотографиями великолепных аттракционов, прикоснемся к костюмам великих мастеров арены и окунемся в волшебный мир цирка.",TODO,1.5-2 часа
1020,В гости к жар – птицам, Экскурсия на фазанью ферму,Приглашаем Вас на настоящее крестьянское – фермерское хозяйства «Фазанья ферма».,"Фазан – птица удивительная и «магическая». Еще с древних времен ее отожествляли с мифическим фениксом – сладкоголосой птицей счастья. Фазаны - это обилие красок, множество необычных форм, симфонии голосов, грациозность походки. Теперь эта чудо - птица с горящими на солнце перьями живет и в Прикамье.",TODO,4-4.5 часа
1021,"Каменный город, Чусовской этнографический парк",,"Древняя легенда гласит, что когда-то на этом месте была цветущая страна. Злой волшебник превратил ее в камень, и жизнь покинула застывшие города королевства.","Пермские ученые склоняются к другой версии возникновения Каменного города. Это не что иное, считают они, как устье древней реки, впадавшей в Пермское море миллионы лет назад.",TODO,12 часов
1022,Музей каски, г. Лысьва. Маршрутами памяти и славы,TODO,"В годы Великой Отечественной войны Лысьвенский «Завод №700» был единственным в СССР предприятием, выпускающим стальные шлемы. СШ-40 – легендарные КАСКИ, которые в начале 40-х годов XX века стала идеальным защитным головным убором, спасшим жизни тысячам бойцов и командиров Красной Армии.",TODO,TODO
1023,Индейская деревня Дети ветра,,Приглашаем вас на увлекательную экскурсию в Индейскую деревню «Дети ветра».,"Этот удивительный атмосферный музей расположен в п. Юго-Камский, что в Пермском районе Пермского края. Вы имеете уникальную возможность почувствовать себя настоящим индейцем, каждая ваша минута пребывания в Индейской деревне будет наполнена свежим воздухом, творчеством и трудом.",TODO,TODO
